Year,Quarter,Product Model,5G Capability,Units Sold,Revenue ($),Market Share (%),Regional 5G Coverage (%),5G Subscribers (millions),Avg 5G Speed (Mbps),Preference for 5G (%),Region,Market Segment,Efficiency_Score,Est_Support_Years,Value_Score
2019,Q1,Galaxy S10,No,26396,4212951.05,1.04,57.36,39.55,293.1,55.87,Asia-Pacific,S-Series (Flagship),1.66,5.0,8.299999999999999
2019,Q1,Galaxy Note10,No,25671,7240265.6,2.82,85.8,42.58,67.46,37.26,Latin America,Specialty,7.95,2.0,15.9
2019,Q1,Galaxy S20,No,16573,25608331.51,0.03,47.02,3.78,77.25,84.66,Middle East & Africa,S-Series (Flagship),0.46,5.0,2.3000000000000003
2019,Q1,Galaxy Note20,No,7177,21984415.83,0.84,25.7,23.41,105.27,40.03,North America,Specialty,25.73,2.0,51.46
2019,Q1,Galaxy S21,No,45633,16342437.5,2.36,89.13,44.43,206.17,76.88,Latin America,S-Series (Flagship),8.45,5.0,42.25
2019,Q1,Galaxy A32 5G,Yes,15912,17178326.9,5.41,59.12,12.14,179.15,80.79,Middle East & Africa,A-Series (Budget),58.41,3.0,175.23
2019,Q1,Galaxy A52 5G,Yes,7231,48639810.19,5.9,52.94,44.36,259.16,77.55,Latin America,A-Series (Budget),396.87,3.0,1190.6100000000001
2019,Q1,Galaxy A73 5G,Yes,58711,70175779.07,4.92,79.95,49.7,191.42,74.83,Europe,A-Series (Budget),58.81,3.0,176.43
2019,Q1,Galaxy Z Fold2 5G,Yes,40641,51959555.76,2.64,44.77,31.27,151.18,66.51,North America,Strategic (FE/Foldable),33.75,4.0,135.0
2019,Q1,Galaxy Z Flip3 5G,Yes,38119,49899540.8,6.84,51.21,38.33,284.33,87.01,Latin America,Strategic (FE/Foldable),89.54,4.0,358.16
2019,Q1,Galaxy S22 5G,Yes,36255,12091673.94,4.66,56.5,9.77,81.43,85.88,Middle East & Africa,S-Series (Flagship),15.54,5.0,77.69999999999999
2019,Q1,Galaxy Z Fold3 5G,Yes,19643,36029498.52,5.67,76.62,22.84,220.82,88.16,Asia-Pacific,Strategic (FE/Foldable),104.0,4.0,416.0
2019,Q1,Galaxy A14 5G,Yes,12612,57161551.82,3.24,64.48,14.98,161.49,85.67,Middle East & Africa,A-Series (Budget),146.85,3.0,440.54999999999995
2019,Q1,Galaxy S23 5G,Yes,22722,45310946.81,2.88,87.12,19.04,233.87,45.66,Europe,S-Series (Flagship),57.43,5.0,287.15
2019,Q1,Galaxy Z Flip5 5G,Yes,8453,46937282.29,3.48,72.73,23.32,130.87,53.81,Latin America,Strategic (FE/Foldable),193.24,4.0,772.96
2019,Q2,Galaxy S10,No,19160,6660064.8,1.56,67.69,14.6,156.93,64.04,Middle East & Africa,S-Series (Flagship),5.42,5.0,27.1
2019,Q2,Galaxy Note10,No,38253,53195937.0,0.05,76.73,31.96,273.85,38.28,Middle East & Africa,Specialty,0.7,2.0,1.4
2019,Q2,Galaxy S20,No,17404,14950208.85,2.51,38.86,36.38,105.21,67.78,Middle East & Africa,S-Series (Flagship),21.56,5.0,107.8
2019,Q2,Galaxy Note20,No,27841,9787426.52,3.96,75.22,46.41,283.25,44.96,Middle East & Africa,Specialty,13.92,2.0,27.84
2019,Q2,Galaxy S21,No,10047,10691516.9,1.56,45.75,15.36,112.81,85.33,Middle East & Africa,S-Series (Flagship),16.6,5.0,83.0
2019,Q2,Galaxy A32 5G,Yes,25054,40495943.74,4.64,67.39,21.03,212.78,63.69,Europe,A-Series (Budget),75.0,3.0,225.0
2019,Q2,Galaxy A52 5G,Yes,37263,29763310.31,2.76,55.56,16.03,263.32,64.63,Asia-Pacific,A-Series (Budget),22.05,3.0,66.15
2019,Q2,Galaxy A73 5G,Yes,39191,19631909.34,3.35,100.83,49.18,59.84,53.2,North America,A-Series (Budget),16.78,3.0,50.34
2019,Q2,Galaxy Z Fold2 5G,Yes,11320,36678245.92,5.99,50.12,43.18,251.51,88.81,North America,Strategic (FE/Foldable),194.08,4.0,776.32
2019,Q2,Galaxy Z Flip3 5G,Yes,31105,12818738.02,4.77,93.04,20.52,110.55,73.07,North America,Strategic (FE/Foldable),19.66,4.0,78.64
2019,Q2,Galaxy S22 5G,Yes,24185,52192972.55,2.95,40.55,46.73,200.47,83.06,Middle East & Africa,S-Series (Flagship),63.66,5.0,318.29999999999995
2019,Q2,Galaxy Z Fold3 5G,Yes,8422,11292488.05,6.0,55.76,30.55,170.31,78.44,Latin America,Strategic (FE/Foldable),80.45,4.0,321.8
2019,Q2,Galaxy A14 5G,Yes,56397,18390883.85,6.11,70.96,23.8,167.75,55.21,North America,A-Series (Budget),19.92,3.0,59.760000000000005
2019,Q2,Galaxy S23 5G,Yes,36613,63070767.79,3.25,83.96,13.22,280.73,75.51,North America,S-Series (Flagship),55.99,5.0,279.95
2019,Q2,Galaxy Z Flip5 5G,Yes,12030,33549565.92,5.82,48.62,36.32,227.63,91.79,Latin America,Strategic (FE/Foldable),162.31,4.0,649.24
2019,Q3,Galaxy S10,No,27112,27051337.74,3.78,61.35,47.48,152.0,50.23,North America,S-Series (Flagship),37.72,5.0,188.6
2019,Q3,Galaxy Note10,No,28788,10130230.56,1.38,25.88,6.92,129.04,46.41,Middle East & Africa,Specialty,4.86,2.0,9.72
2019,Q3,Galaxy S20,No,29329,11066723.12,1.23,57.98,32.34,132.81,77.31,Asia-Pacific,S-Series (Flagship),4.64,5.0,23.2
2019,Q3,Galaxy Note20,No,12535,28466176.11,2.09,55.61,31.12,111.28,47.14,Latin America,Specialty,47.46,2.0,94.92
2019,Q3,Galaxy S21,No,20683,15828498.96,0.34,30.32,-0.65,239.67,46.13,Europe,S-Series (Flagship),2.6,5.0,13.0
2019,Q3,Galaxy A32 5G,Yes,57404,22248956.96,6.12,83.5,46.57,211.08,58.89,Europe,A-Series (Budget),23.72,3.0,71.16
2019,Q3,Galaxy A52 5G,Yes,56869,78970161.31,6.12,102.54,21.09,83.18,94.7,Latin America,A-Series (Budget),84.98,3.0,254.94
2019,Q3,Galaxy A73 5G,Yes,6542,13222480.68,3.5,88.84,26.74,115.63,54.75,Asia-Pacific,A-Series (Budget),70.74,3.0,212.21999999999997
2019,Q3,Galaxy Z Fold2 5G,Yes,57951,41600297.39,2.72,55.58,17.57,184.77,67.9,Asia-Pacific,Strategic (FE/Foldable),19.53,4.0,78.12
2019,Q3,Galaxy Z Flip3 5G,Yes,25004,28940719.49,6.33,45.56,44.29,124.19,54.15,Europe,Strategic (FE/Foldable),73.27,4.0,293.08
2019,Q3,Galaxy S22 5G,Yes,15756,19796585.92,3.58,76.64,36.22,206.39,88.16,Middle East & Africa,S-Series (Flagship),44.98,5.0,224.89999999999998
2019,Q3,Galaxy Z Fold3 5G,Yes,56418,53656997.8,6.91,54.03,24.27,61.49,87.97,Middle East & Africa,Strategic (FE/Foldable),65.72,4.0,262.88
